Sender,Message,Timestamp,Amount,Amount_Category
Sender_313,EMI overdue! Pay ₹65918 immediately to avoid penalty.,2025-01-26 05:37:52,65918.0,Very High Value
Sender_521,Important: Property tax deadline extended.,2025-01-11 18:37:52,,
Sender_735,EMI overdue! Pay ₹44634 immediately to avoid penalty.,2025-01-07 16:37:52,44634.0,High Value
Sender_392,Doctor's appointment confirmed for 3 PM.,2025-01-30 11:37:52,,
Sender_110,Your login OTP for AppXYZ is 456789.,2025-01-17 08:37:52,,
Sender_246,Flight AI-302 to Mumbai departs at 8:00 AM.,2025-01-29 16:37:52,,
Sender_977,HR update: Your interview is scheduled for Monday.,2025-01-25 22:37:52,,
Sender_906,Let's discuss the new client proposal over lunch.,2025-01-29 05:37:52,,
Sender_380,Your card was used for a ₹67609 purchase.,2025-01-16 16:37:52,67609.0,Very High Value
Sender_696,Flight AI-302 to Mumbai departs at 8:00 AM.,2025-01-19 16:37:52,,
Sender_934,Loan statement is available for ₹50011.,2025-01-26 14:37:52,50011.0,Very High Value
Sender_536,New business proposal received.,2025-01-15 14:37:52,,
Sender_619,Dental appointment booked for 5 PM tomorrow.,2025-01-31 11:37:52,,
Sender_751,Prescription refill reminder: Check your stock.,2025-01-13 12:37:52,,
Sender_662,Limited-time sale! Buy 1 Get 1 Free on electronics.,2025-01-26 02:37:52,,
Sender_891,Work update: Project deadline extended by a week.,2025-01-07 16:37:52,,
Sender_382,Your reservation has been modified. Check details.,2025-01-23 21:37:52,,
Sender_896,Reminder: Your health check-up is due.,2025-01-14 01:37:52,,
Sender_395,Festive offer: Flat 30% discount on all items.,2025-01-13 18:37:52,,
Sender_685,Your train ticket to Delhi is confirmed.,2025-02-01 03:37:52,,
Sender_155,Your login OTP for AppXYZ is 456789.,2025-01-13 09:37:52,,
Sender_478,Pharmacy alert: New medicines available.,2025-01-05 03:37:52,,
Sender_950,Your train ticket to Delhi is confirmed.,2025-01-20 23:37:52,,
Sender_472,Limited-time sale! Buy 1 Get 1 Free on electronics.,2025-01-28 20:37:52,,
Sender_801,"Congratulations! You are the lucky winner of ₹10,000 cash prize!",2025-01-18 05:37:52,,
Sender_986,Transaction OTP: 987654. Valid for 5 minutes.,2025-01-29 00:37:52,,
Sender_674,Your electricity bill of ₹1200 is due on 10th.,2025-01-03 04:37:52,,
Sender_355,Water bill payment successful. Amount: ₹500.,2025-01-09 07:37:52,,
Sender_404,Your monthly EMI of ₹22159 has been deducted.,2025-01-23 02:37:52,22159.0,High Value
Sender_212,Gas bill alert: Pay ₹750 before the due date.,2025-01-24 13:37:52,,
Sender_173,HR update: Your interview is scheduled for Monday.,2025-01-25 00:37:52,,
Sender_438,HR update: Your interview is scheduled for Monday.,2025-01-23 19:37:52,,
Sender_715,Pharmacy alert: New medicines available.,2025-02-01 18:37:52,,
Sender_129,Missed you at the party yesterday. Where were you?,2025-01-10 18:37:52,,
Sender_567,Water bill payment successful. Amount: ₹500.,2025-01-29 02:37:52,,
Sender_607,IRCTC update: Train timings have changed.,2025-01-23 15:37:52,,
Sender_408,Claim your jackpot winnings now before the deadline!,2025-01-24 13:37:52,,
Sender_933,Exclusive promo code: SAVE50 for your next purchase.,2025-02-02 08:37:52,,
Sender_153,Check-in reminder: Hotel stay starts tomorrow.,2025-01-12 11:37:52,,
Sender_912,Verification code: 112233 for account activation.,2025-01-13 20:37:52,,
Sender_380,Use 778899 to reset your password.,2025-01-25 05:37:52,,
Sender_938,Reminder: Your health check-up is due.,2025-02-02 11:37:52,,
Sender_358,Congratulations! Your job application is shortlisted.,2025-01-06 11:37:52,,
Sender_790,Your medicine order is ready for delivery.,2025-01-21 08:37:52,,
Sender_193,Your login OTP for AppXYZ is 456789.,2025-01-13 11:37:52,,
Sender_147,Your login OTP for AppXYZ is 456789.,2025-01-12 11:37:52,,
Sender_295,Big clearance sale! Up to 50% off.,2025-02-02 13:37:52,,
Sender_131,Use code WELCOME10 for ₹100 off.,2025-01-05 06:37:52,,
Sender_866,HR update: Your interview is scheduled for Monday.,2025-01-27 06:37:52,,
Sender_819,Work update: Project deadline extended by a week.,2025-01-12 08:37:52,,
Sender_928,Your flight has been rescheduled. Check details.,2025-01-19 14:37:52,,
Sender_427,Exclusive promo code: SAVE50 for your next purchase.,2025-01-31 16:37:52,,
Sender_118,Your electricity bill of ₹1200 is due on 10th.,2025-01-26 07:37:52,,
Sender_931,Your flight has been rescheduled. Check details.,2025-01-06 09:37:52,,
Sender_298,Your cashback of ₹2969 is credited.,2025-01-13 13:37:52,2969.0,Medium Value
Sender_189,Secure login OTP: 654321.,2025-01-13 07:37:52,,
Sender_243,Warning! Your account may be at risk. Contact support now.,2025-01-15 08:37:52,,
Sender_467,Dental appointment booked for 5 PM tomorrow.,2025-01-06 20:37:52,,
Sender_635,Flight AI-302 to Mumbai departs at 8:00 AM.,2025-01-28 10:37:52,,
Sender_668,Your bank OTP is 123456. Do not share with anyone.,2025-01-19 14:37:52,,
Sender_202,Work update: Project deadline extended by a week.,2025-01-10 00:37:52,,
Sender_337,Your monthly EMI of ₹91932 has been deducted.,2025-01-04 05:37:52,91932.0,Very High Value
Sender_779,Limited-time deal: Extra ₹500 cashback on purchases.,2025-01-20 14:37:52,,
Sender_284,Hurry! Get 25% off on your first order.,2025-01-07 15:37:52,,
Sender_263,Reminder: Team meeting at 10 AM tomorrow.,2025-01-14 19:37:52,,
Sender_408,Lab reports ready for pickup.,2025-01-15 21:37:52,,
Sender_133,Your blood test results are available online.,2025-01-14 20:37:52,,
Sender_800,Congratulations! Your job application is shortlisted.,2025-01-14 08:37:52,,
Sender_562,New update from your tax department.,2025-01-16 19:37:52,,
Sender_524,EMI overdue! Pay ₹23129 immediately to avoid penalty.,2025-02-02 07:37:52,23129.0,High Value
Sender_738,Boarding pass issued for your flight to Dubai.,2025-01-07 03:37:52,,
Sender_888,Reminder: Your health check-up is due.,2025-01-11 06:37:52,,
Sender_851,Claim your jackpot winnings now before the deadline!,2025-01-24 20:37:52,,
Sender_823,Congratulations! Your job application is shortlisted.,2025-01-21 23:37:52,,
Sender_689,Flight AI-302 to Mumbai departs at 8:00 AM.,2025-02-01 12:37:52,,
Sender_524,"You've won $1,000,000! Claim now by clicking here.",2025-01-21 05:37:52,,
Sender_220,Sister: Can you pick me up from college today?,2025-01-21 20:37:52,,
Sender_912,Reminder: Your health check-up is due.,2025-01-19 18:37:52,,
Sender_661,Your blood test results are available online.,2025-01-30 10:37:52,,
Sender_659,Doctor's appointment confirmed for 3 PM.,2025-01-08 18:37:52,,
Sender_782,Hurry! Get 25% off on your first order.,2025-01-12 08:37:52,,
Sender_589,Limited-time deal: Extra ₹500 cashback on purchases.,2025-01-11 02:37:52,,
Sender_875,Secure login OTP: 654321.,2025-01-12 07:37:52,,
Sender_142,Train 12345 is delayed by 30 minutes.,2025-01-18 19:37:52,,
Sender_313,₹85573 has been credited to your account.,2025-01-12 22:37:52,85573.0,Very High Value
Sender_698,Use 778899 to reset your password.,2025-01-10 07:37:52,,
Sender_918,Suspicious login detected. Reset your password now.,2025-01-30 20:37:52,,
Sender_996,Exclusive promo code: SAVE50 for your next purchase.,2025-01-21 07:37:52,,
Sender_441,Your bank OTP is 123456. Do not share with anyone.,2025-01-08 07:37:52,,
Sender_351,Important: Property tax deadline extended.,2025-01-20 06:37:52,,
Sender_962,New job opening in your preferred industry.,2025-01-17 19:37:52,,
Sender_776,Missed you at the party yesterday. Where were you?,2025-01-19 13:37:52,,
Sender_983,Limited-time deal: Extra ₹500 cashback on purchases.,2025-01-13 03:37:52,,
Sender_156,Dental appointment booked for 5 PM tomorrow.,2025-01-04 19:37:52,,
Sender_117,Your cashback of ₹21690 is credited.,2025-01-29 07:37:52,21690.0,High Value
Sender_769,Exclusive promo code: SAVE50 for your next purchase.,2025-01-16 19:37:52,,
Sender_561,Reminder: Your health check-up is due.,2025-01-17 16:37:52,,
Sender_731,Claim your jackpot winnings now before the deadline!,2025-01-06 21:37:52,,
Sender_829,"Special offer: Buy 2, Get 1 Free.",2025-01-30 01:37:52,,
Sender_873,Boarding pass issued for your flight to Dubai.,2025-01-24 18:37:52,,
Sender_113,Your reservation has been modified. Check details.,2025-01-06 11:37:52,,
Sender_478,₹15178 has been credited to your account.,2025-01-31 07:37:52,15178.0,High Value
Sender_518,Your card was used for a ₹73006 purchase.,2025-01-18 11:37:52,73006.0,Very High Value
